timestamp,msg,proto,src,srcport,dst,dstport,ethsrc,ethdst,ethlen,tcpflags,tcpseq,tcpack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmpcode,icmpid,icmpseq
05/13-03:26:20.170412 ,ICMP Destination Unreachable Network Unreachable,ICMP,218.30.53.214,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,247,0,0,56,57344,3.0,0.0,0.0,0.0
05/13-03:26:20.524082 ,SCAN UPnP service discover attempt,UDP,113.251.164.233,54736.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,74:5A:AA:C0:DA:F3,0xE0,,,,,,1,0,31939,202,206848,,,,
05/13-03:26:20.524088 ,SCAN UPnP service discover attempt,UDP,172.18.62.176,54738.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,31805,202,206848,,,,
05/13-03:26:21.288830 ,BAD-TRAFFIC 0 ttl,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:21.288830 ,BAD-TRAFFIC 0 ttl,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:21.288830 ,BAD-TRAFFIC same SRC/DST,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:21.521632 ,SCAN UPnP service discover attempt,UDP,113.251.164.233,54736.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,74:5A:AA:C0:DA:F3,0xE0,,,,,,1,0,31940,202,206848,,,,
05/13-03:26:21.521639 ,SCAN UPnP service discover attempt,UDP,172.18.62.176,54738.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,31806,202,206848,,,,
05/13-03:26:21.844393 ,ICMP Time-To-Live Exceeded in Transit,ICMP,202.1.205.11,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,241,192,52076,56,57344,11.0,0.0,0.0,0.0
05/13-03:26:22.518996 ,SCAN UPnP service discover attempt,UDP,113.251.164.233,54736.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,74:5A:AA:C0:DA:F3,0xE0,,,,,,1,0,31941,202,206848,,,,
